County,Precinct,Precinct ID,Anthony Brown,Warren Christopher,Matthew Fogg,Glenn Ivey,Joseline Pena-Melnyk,Terence Strait
Peince George,101,001-001,150,5,7,217,287,4
Peince George,102,001-002,NA,NA,NA,NA,NA,NA
Peince George,103,001-003,203,12,10,105,240,2
Peince George,104,001-004,NA,NA,NA,NA,NA,NA
Peince George,105,001-005,NA,NA,NA,NA,NA,NA
Peince George,106,001-006,NA,NA,NA,NA,NA,NA
Peince George,107,001-007,123,20,3,70,187,2
Peince George,108,001-008,NA,NA,NA,NA,NA,NA
Peince George,201,002-001,157,6,1,64,37,1
Peince George,202,002-002,85,8,3,152,73,4
Peince George,203,002-003,110,8,1,411,143,1
Peince George,204,002-004,122,4,2,128,54,4
Peince George,205,002-005,124,4,5,67,85,0
Peince George,206,002-006,NA,NA,NA,NA,NA,NA
Peince George,207,002-007,50,1,2,442,117,4
Peince George,208,002-008,349,10,3,174,109,1
Peince George,209,002-009,258,8,7,258,48,0
Peince George,210,002-010,137,9,2,119,77,0
Peince George,301,003-001,NA,NA,NA,NA,NA,NA
Peince George,302,003-002,NA,NA,NA,NA,NA,NA
Peince George,303,003-003,398,142,5,286,78,0
Peince George,304,003-004,266,8,3,267,46,1
Peince George,305,003-005,248,13,5,177,38,2
Peince George,306,003-006,405,12,14,324,71,2
Peince George,307,003-007,46,1,2,44,9,1
Peince George,308,003-008,NA,NA,NA,NA,NA,NA
Peince George,401,004-001,NA,NA,NA,NA,NA,NA
Peince George,501,005-001,NA,NA,NA,NA,NA,NA
Peince George,502,005-002,NA,NA,NA,NA,NA,NA
Peince George,503,005-003,NA,NA,NA,NA,NA,NA
Peince George,504,005-004,NA,NA,NA,NA,NA,NA
Peince George,505,005-005,NA,NA,NA,NA,NA,NA
Peince George,506,005-006,NA,NA,NA,NA,NA,NA
Peince George,507,005-007,NA,NA,NA,NA,NA,NA
Peince George,508,005-008,NA,NA,NA,NA,NA,NA
Peince George,509,005-009,NA,NA,NA,NA,NA,NA
Peince George,510,005-010,NA,NA,NA,NA,NA,NA
Peince George,511,005-011,NA,NA,NA,NA,NA,NA
Peince George,512,005-012,NA,NA,NA,NA,NA,NA
Peince George,601,006-001,326,5,8,245,28,0
Peince George,602,006-002,133,10,10,159,16,0
Peince George,603,006-003,334,7,6,270,74,1
Peince George,604,006-004,272,12,42,145,25,2
Peince George,605,006-005,213,8,7,142,29,1
Peince George,606,006-006,251,42,3,124,39,3
Peince George,607,006-007,330,17,8,232,55,2
Peince George,608,006-008,199,2,6,164,29,1
Peince George,609,006-009,237,7,2,145,33,1
Peince George,610,006-010,338,7,5,198,48,3
Peince George,611,006-011,216,32,6,280,28,1
Peince George,612,006-012,160,5,13,127,19,2
Peince George,613,006-013,265,13,4,301,17,0
Peince George,614,006-014,51,2,3,50,11,1
Peince George,615,006-015,305,8,9,165,42,0
Peince George,616,006-016,272,7,1,142,32,1
Peince George,617,006-017,331,12,5,278,39,0
Peince George,618,006-018,213,10,7,137,34,3
Peince George,619,006-019,271,3,5,133,26,2
Peince George,620,006-020,335,5,9,285,51,2
Peince George,621,006-021,53,3,0,33,9,0
Peince George,622,006-022,267,4,6,203,63,2
Peince George,623,006-023,197,1,5,143,28,2
Peince George,624,006-024,86,8,5,67,9,0
Peince George,625,006-025,59,0,0,40,14,0
Peince George,626,006-026,130,2,7,82,18,1
Peince George,627,006-027,90,2,4,55,18,2
Peince George,628,006-028,81,5,2,65,13,1
Peince George,629,006-029,51,2,2,60,6,0
Peince George,701,007-001,88,9,0,102,22,0
Peince George,702,007-002,NA,NA,NA,NA,NA,NA
Peince George,703,007-003,NA,NA,NA,NA,NA,NA
Peince George,704,007-004,NA,NA,NA,NA,NA,NA
Peince George,705,007-005,NA,NA,NA,NA,NA,NA
Peince George,706,007-006,NA,NA,NA,NA,NA,NA
Peince George,707,007-007,NA,NA,NA,NA,NA,NA
Peince George,708,007-008,NA,NA,NA,NA,NA,NA
Peince George,709,007-009,NA,NA,NA,NA,NA,NA
Peince George,710,007-010,NA,NA,NA,NA,NA,NA
Peince George,711,007-011,411,20,5,445,62,1
Peince George,712,007-012,376,7,8,285,30,1
Peince George,713,007-013,313,13,6,308,60,2
Peince George,714,007-014,NA,NA,NA,NA,NA,NA
Peince George,715,007-015,262,16,7,270,60,0
Peince George,716,007-016,NA,NA,NA,NA,NA,NA
Peince George,717,007-017,NA,NA,NA,NA,NA,NA
Peince George,718,007-018,8,0,0,6,2,0
Peince George,719,007-019,55,3,0,33,8,1
Peince George,720,007-020,20,1,0,17,7,0
Peince George,721,007-021,28,2,1,18,8,0
Peince George,722,007-022,374,16,3,472,122,3
Peince George,723,007-023,199,10,4,208,44,1
Peince George,724,007-024,51,4,1,25,7,0
Peince George,801,008-001,NA,NA,NA,NA,NA,NA
Peince George,901,009-001,NA,NA,NA,NA,NA,NA
