County,Precinct,Precinct ID,David Anderson,Kumar Barve,Dan Bolling,Ana Gutierrez,William Jawando,Kathleen Matthews,Jamie Raskin,Joel Rubin,David Trone
Carroll,101,001-001,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carroll,201,002-001,5,1,3,6,1,26,24,2,44
Carroll,202,002-002,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carroll,301,003-001,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carroll,401,004-001,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carroll,402,004-002,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carroll,403,004-003,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carroll,501,005-001,9,10,4,11,7,77,78,5,160
Carroll,502,005-002,13,20,10,31,10,104,105,8,234
Carroll,503,005-003,16,7,7,7,10,60,36,1,173
Carroll,504,005-004,25,17,11,29,18,165,162,13,402
Carroll,505,005-005,6,5,4,11,3,58,73,1,117
Carroll,506,005-006,4,1,1,10,1,26,9,2,31
Carroll,601,006-001,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carroll,602,006-002,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carroll,701,007-001,4,2,0,6,0,30,7,2,65
Carroll,702,007-002,1,7,3,8,7,48,14,5,169
Carroll,703,007-003,11,1,7,13,4,49,14,6,180
Carroll,704,007-004,14,12,8,30,14,76,49,10,318
Carroll,705,007-005,1,1,0,8,1,52,10,3,54
Carroll,706,007-006,7,10,4,8,4,46,26,3,121
Carroll,707,007-007,19,8,7,21,11,100,42,10,306
Carroll,708,007-008,3,1,3,7,3,24,7,1,92
Carroll,801,008-001,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carroll,802,008-002,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carroll,803,008-003,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carroll,901,009-001,15,11,5,11,4,78,31,3,170
Carroll,902,009-002,2,3,1,5,2,40,8,4,86
Carroll,1001,010-001,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carroll,1101,011-001,5,2,1,4,6,33,11,2,143
Carroll,1201,012-001,4,2,1,5,1,17,13,1,50
Carroll,1301,013-001,26,14,6,31,15,187,43,16,375
Carroll,1401,014-001,9,4,8,12,8,76,22,9,159
Carroll,1402,014-002,19,7,10,23,6,96,68,8,282
Carroll,1403,014-003,2,1,1,2,2,8,12,0,37
Carroll,6001,,0,0,0,0,0,0,0,0,0
Carroll,7000,,0,0,0,0,0,0,0,0,0
Carroll,7500,,0,0,0,0,0,0,0,0,0
Carroll,8000,,0,0,0,0,0,0,0,0,0
Frederick,101,001-001,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frederick,102,001-002,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frederick,103,001-003,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frederick,201,002-001,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frederick,202,002-002,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frederick,203,002-003,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frederick,204,002-004,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frederick,205,002-005,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frederick,206,002-006,NA,NA,NA,NA,NA,NA,NA,NA,NA
