"","Precinct","Freddie Dickson","Donna Edwards","Ralph Jaffe","Theresa Scaldaferri","Charles Smith","Violet Staley","Blaine Taylor","Chris Van Hollen","Lih Young"
"1",101,18,283,3,14,3,9,4,312,9
"2",102,2,92,1,4,9,1,0,128,2
"3",103,18,290,7,16,8,9,2,216,5
"4",101,18,283,3,14,3,9,4,312,9
"5",102,2,92,1,4,9,1,0,128,2
"6",103,18,290,7,16,8,9,2,216,5
"7",104,13,164,2,8,6,9,3,211,5
"8",105,6,195,7,11,5,9,4,281,9
"9",106,8,206,2,6,3,3,4,154,5
"10",107,4,85,3,7,1,2,0,336,3
"11",108,1,49,1,3,1,3,0,60,0
"12",201,7,176,2,6,3,3,2,58,1
"13",202,10,150,2,4,6,1,2,147,3
"14",203,6,390,2,4,3,5,5,252,4
"15",204,10,190,4,6,3,5,1,90,2
"16",205,8,192,1,7,4,3,3,59,7
"17",206,14,321,5,10,5,5,6,155,3
"18",207,3,303,2,5,1,4,4,287,1
"19",208,17,432,3,11,12,3,5,155,3
"20",209,22,391,4,13,9,3,3,134,5
"21",210,9,226,1,7,4,1,3,92,0
"22",301,4,135,2,1,2,4,2,74,1
"23",302,18,444,2,4,8,6,1,191,3
"24",303,14,605,4,6,6,4,2,264,2
"25",304,7,385,3,3,3,3,1,187,2
"26",305,3,312,1,0,4,1,5,160,0
"27",306,11,599,3,3,3,3,1,216,1
"28",307,3,67,0,1,1,2,0,29,1
"29",308,0,18,0,1,0,0,0,20,1
"30",401,4,119,1,4,0,2,0,177,3
"31",501,13,667,2,3,10,5,7,318,5
"32",502,6,337,1,3,2,4,1,205,2
"33",503,8,410,1,5,2,1,2,125,2
"34",504,10,479,4,3,6,4,4,168,1
"35",505,12,579,0,3,5,1,5,261,1
"36",506,9,455,1,5,2,3,3,175,3
"37",507,9,569,3,5,1,5,2,259,1
"38",508,8,210,3,0,2,4,4,220,4
"39",509,5,78,0,2,1,0,0,46,1
"40",510,5,149,1,0,2,2,0,76,0
"41",511,10,397,3,1,4,4,2,117,3
"42",512,16,473,6,6,8,9,5,233,4
"43",601,9,465,2,9,9,3,3,111,3
"44",602,2,240,0,3,2,0,1,82,1
"45",603,16,497,6,14,13,3,5,141,3
"46",604,11,383,0,6,5,4,6,80,1
"47",605,10,307,1,5,4,2,1,71,0
"48",606,15,327,3,4,3,2,2,103,1
"49",607,11,472,6,9,3,2,2,142,4
"50",608,9,301,4,1,1,0,2,83,0
"51",609,5,327,4,4,3,2,3,75,0
"52",610,10,448,2,6,8,4,1,124,4
"53",611,10,411,1,2,8,6,0,124,2
"54",612,8,254,2,1,3,1,2,53,4
"55",613,5,403,4,4,4,4,1,174,2
"56",614,2,90,0,3,2,1,0,20,0
"57",615,10,404,0,2,3,3,1,104,2
"58",616,10,343,1,5,4,2,1,87,1
"59",617,7,502,1,0,5,2,0,144,2
"60",618,10,275,0,6,4,5,5,101,1
"61",619,2,331,1,6,3,3,3,87,0
"62",620,7,536,1,5,6,2,2,129,0
"63",621,2,75,0,0,1,0,0,21,2
"64",622,13,430,0,3,5,3,0,89,2
"65",623,8,271,0,1,4,3,0,90,1
"66",624,1,142,0,0,0,1,1,35,0
"67",625,2,93,0,0,1,0,0,19,0
"68",626,2,176,1,2,1,1,1,55,0
"69",627,3,129,2,2,2,2,2,28,2
"70",628,1,128,0,0,1,0,1,37,1
"71",629,3,88,1,1,1,0,1,26,0
