County,Precinct,Freddie Dickson,Donna Edwards,Ralph Jaffe,Theresa Scaldaferri,Charles Smith,Violet Staley,Blaine Taylor,Ed Tinus,Chris Van Hollen,Lih Young
Alegany,100,1,12,0,3,2,0,1,1,29,0
Alegany,200,2,14,1,0,2,3,3,1,24,1
Alegany,300,3,12,0,1,3,2,1,2,21,1
Alegany,402,2,13,1,3,3,6,4,1,28,4
Alegany,403,3,36,2,4,6,2,3,0,75,2
Alegany,404,7,46,3,1,2,4,5,1,101,3
Alegany,405,1,25,1,0,1,2,0,1,43,2
Alegany,408,9,50,3,3,4,3,4,1,77,2
Alegany,504,5,34,3,3,2,0,3,3,77,3
Alegany,506,3,16,1,0,1,2,4,1,27,0
Alegany,601,2,56,1,3,3,4,4,0,104,4
Alegany,603,3,28,1,4,3,4,2,0,38,2
Alegany,605,4,45,1,5,1,3,3,1,87,4
Alegany,606,2,38,4,3,9,1,5,1,62,0
Alegany,701,5,48,3,4,3,1,9,0,96,6
Alegany,702,3,43,2,3,5,2,3,1,92,1
Alegany,800,9,54,2,6,4,6,10,0,89,6
Alegany,900,4,21,1,1,1,0,4,1,16,0
Alegany,1000,2,21,1,3,1,1,2,0,38,0
Alegany,1100,4,31,1,6,1,3,3,2,71,3
Alegany,1200,13,74,5,4,2,6,6,2,127,1
Alegany,1300,7,37,2,2,4,5,8,0,59,5
Alegany,1400,3,10,0,4,0,4,0,0,32,0
Alegany,1600,3,35,1,1,7,2,2,1,62,3
Alegany,1800,4,27,3,1,3,2,1,1,50,1
Alegany,2000,4,22,5,3,4,0,6,1,55,4
Alegany,2100,2,20,2,2,2,1,2,2,51,0
Alegany,2201,7,41,2,2,3,3,4,3,80,3
Alegany,2202,0,4,0,1,0,0,0,0,2,0
Alegany,2300,7,70,3,8,6,7,8,2,128,5
Alegany,2400,4,30,0,4,2,1,3,0,58,3
Alegany,2600,10,78,4,8,4,11,7,1,126,5
Alegany,2901,11,52,5,5,4,7,6,1,116,4
Alegany,2902,6,46,2,6,7,1,2,1,124,2
Alegany,2903,5,41,2,2,1,0,2,2,95,1
Alegany,3100,7,29,2,1,0,0,1,1,41,1
Alegany,3400,5,39,2,4,4,1,8,3,97,3
Alegany,6001,0,0,0,0,0,0,0,0,0,0
Alegany,7000,0,0,0,0,0,0,0,0,0,0
Alegany,7500,0,0,0,0,0,0,0,0,0,0
Alegany,8000,0,0,0,0,0,0,0,0,0,0
Caroline,101,2,29,3,4,2,1,3,4,51,1
Caroline,201,3,77,7,10,7,8,5,2,146,2
Caroline,301,9,141,8,17,6,8,3,1,164,7
Caroline,401,2,103,5,6,3,5,0,1,100,2
Caroline,501,16,95,4,6,11,9,1,1,99,0
Caroline,601,3,35,2,4,1,0,5,1,71,3
Caroline,701,9,89,3,13,5,6,4,1,119,3
Caroline,801,4,25,2,4,0,3,1,1,49,2
Caroline,6001,0,0,0,0,0,0,0,0,0,0
Caroline,7000,0,0,0,0,0,0,0,0,0,0
Caroline,7500,0,0,0,0,0,0,0,0,0,0
Caroline,8000,0,0,0,0,0,0,0,0,0,0
Carroll,101,7,94,4,6,8,16,9,2,330,4
Carroll,201,2,22,0,4,2,6,0,0,81,0
Carroll,202,2,25,1,4,1,8,1,1,96,2
Carroll,301,9,63,6,11,1,6,3,2,194,4
Carroll,401,12,114,6,10,2,10,4,6,424,4
Carroll,402,3,31,1,2,4,6,3,2,160,6
Carroll,403,5,75,3,8,2,7,1,1,296,5
Carroll,501,0,69,4,1,2,7,1,2,271,5
Carroll,502,4,93,8,10,5,9,3,2,420,6
Carroll,503,2,64,7,8,2,5,2,1,236,5
Carroll,504,11,167,7,19,4,12,4,2,627,9
Carroll,505,1,57,2,11,1,6,2,0,195,3
Carroll,506,0,19,1,1,0,1,2,1,69,0
Carroll,601,3,74,5,10,4,13,3,2,248,5
Carroll,602,5,88,6,17,0,8,4,3,276,6
Carroll,701,3,24,0,4,0,1,1,0,85,1
Carroll,702,2,44,5,4,2,6,3,5,198,6
Carroll,703,3,58,4,6,4,7,8,1,188,6
Carroll,704,8,106,3,11,3,10,5,3,376,10
Carroll,705,4,16,1,2,2,0,0,1,114,2
Carroll,706,2,34,2,3,1,4,1,1,178,4
Carroll,707,14,104,5,10,1,9,5,1,376,8
Carroll,708,3,24,0,2,0,1,1,0,113,1
Carroll,801,6,54,3,14,3,6,4,3,285,5
Carroll,802,8,50,4,8,3,5,0,4,211,5
Carroll,803,2,46,6,4,4,4,2,2,161,4
Carroll,901,3,59,7,9,5,4,4,0,241,1
Carroll,902,2,16,2,0,1,2,0,0,124,2
Carroll,1001,1,10,1,3,2,1,0,2,35,1
Carroll,1101,2,40,2,3,4,3,1,1,149,3
Carroll,1201,2,20,0,0,2,3,2,0,69,2
Carroll,1301,3,114,7,11,9,15,8,1,558,4
Carroll,1401,4,56,0,10,1,5,1,3,238,1
Carroll,1402,11,89,4,4,5,12,7,5,386,2
Carroll,1403,0,7,0,0,1,1,0,0,55,2
Carroll,6001,0,0,0,0,0,0,0,0,0,0
Carroll,7000,0,0,0,0,0,0,0,0,0,0
Carroll,7500,0,0,0,0,0,0,0,0,0,0
Carroll,8000,0,0,0,0,0,0,0,0,0,0
Cecil,101,9,65,10,8,6,6,10,2,184,8
Cecil,201,6,63,3,5,2,3,5,0,107,8
Cecil,202,8,48,9,8,6,5,3,3,71,7
Cecil,301,19,149,13,22,13,13,3,1,162,2
Cecil,302,2,24,2,3,4,4,2,1,49,1
Cecil,303,15,106,9,8,11,13,2,1,106,7
Cecil,304,1,8,3,0,2,0,1,0,12,0
Cecil,305,4,32,1,7,1,4,3,2,33,3
Cecil,306,3,40,5,5,3,5,4,0,76,0
